model score irmsd fnat lrmsd ilrmsd dockq rmsd cl_id cl_rank m_cl_rank air bsa desolv elec total vdw
model_47 -24.078 0.472 0.900 1.329 1.359 0.929 0.255 2 1 1 3.202 426.868 -2.629 1.327 -14.299 -18.828
model_28 -24.029 0.679 0.900 2.169 2.137 0.890 0.291 2 1 2 2.009 389.602 -1.336 0.604 -16.988 -19.602
model_31 -23.192 0.437 0.900 1.213 1.233 0.934 0.254 2 1 3 6.083 422.402 -2.214 4.622 -11.279 -21.984
model_118 -22.863 1.824 0.400 5.939 5.924 0.492 0.616 1 2 1 61.044 424.886 -1.881 -6.098 38.206 -16.740
model_36 -22.278 0.371 0.900 1.001 1.022 0.943 0.213 2 1 4 0.594 419.896 -2.278 5.392 -15.267 -21.252
model_108 -21.807 0.896 0.800 2.800 2.817 0.813 0.331 2 1 5 1.973 360.383 -1.808 1.112 -14.620 -17.705
model_29 -21.672 0.484 0.900 1.514 1.445 0.925 0.273 2 1 6 4.487 410.070 -1.819 4.173 -11.714 -20.374
model_91 -21.420 1.800 0.400 5.889 5.904 0.495 0.600 1 2 2 4.537 386.639 -1.168 -3.103 -12.302 -13.736
model_88 -21.174 1.838 0.400 6.008 6.036 0.489 0.614 1 2 3 5.441 389.578 -1.806 -1.832 -10.575 -14.184
model_35 -21.024 0.545 1.000 1.604 1.619 0.950 0.259 2 1 7 2.741 402.742 -1.732 3.503 -12.797 -19.042
model_61 -20.979 3.127 0.400 10.468 10.449 0.328 1.070 4 3 1 30.825 490.648 -2.600 -3.061 14.270 -13.495
model_86 -20.630 1.836 0.400 5.955 5.997 0.490 0.613 1 2 4 8.636 389.799 -1.495 -2.535 -7.465 -13.566
model_25 -20.449 0.948 1.000 2.961 2.950 0.869 0.355 2 1 8 2.666 415.718 -2.026 4.154 -11.867 -18.687
model_169 -20.250 1.493 0.400 4.891 4.872 0.551 0.511 1 2 5 2.639 360.834 -0.471 -1.473 -13.795 -14.961
model_64 -19.977 1.966 0.400 6.436 6.472 0.468 0.659 1 2 6 4.001 376.782 -1.023 -0.645 -11.585 -14.941
model_37 -19.824 0.505 0.800 1.507 1.513 0.889 0.212 2 1 9 4.438 407.264 -2.508 6.088 -9.249 -19.775
model_26 -19.591 0.554 0.900 1.355 1.323 0.918 0.355 2 1 10 2.779 415.851 -1.898 2.538 -11.034 -16.351
model_34 -19.351 1.069 0.800 3.383 3.373 0.775 0.415 2 1 11 3.804 397.269 -2.727 2.661 -9.228 -15.693
model_210 -19.331 2.908 0.500 9.754 9.769 0.381 0.996 4 3 2 135.050 559.441 -2.951 -2.843 110.760 -21.447
